,destinyDisplayName,memberType,lastOnline,game_active,discordName,member,discord_active
98,mondain,2.0,2019-07-01 11:52:01-05:00,0.0,[vii] mondain,[vii] mondain,True
99,hilo,2.0,2019-06-21 23:12:13-05:00,9.0,[vii] hilo,[vii] hilo,False
100,,,,,,[vii] kiwi,True
101,,,,,,[vii] bigshow,False
102,,,,,,[honorary vii] partyskeletn,False
103,,,,,,[vii] pellaeon,False
104,,,,,,[vii] silentgamer,False
105,,,,,,[vii] staceysmom,False
106,,,,,,activity monitor (beta),False
107,,,,,,[vii/devl] theiceprince21,True
108,,,,,,[vii] maxnmike#1659,False
109,,,,,,[vii] chewy104,False
110,,,,,,[vii] shortwing#11582,False
111,,,,,,[vii] sovietsloth,False
112,,,,,,[vii] lokostwin,False
113,,,,,,lav activity bot,True
114,,,,,,neondoplhin,False
115,,,,,,[vii] vengeance666,False
